,user_id,policy_id,rating,timestamp
0,1,1,1,19960280
1,1,2,4,16896904
2,2,1,5,15386060
3,2,2,4,22334089
4,2,3,5,20331720
5,2,4,1,18969677
6,3,1,4,19341198
7,3,2,1,14946489
8,3,3,4,12467321
9,3,4,4,20126747
10,4,1,1,21846460
11,4,2,5,19346314
12,4,3,3,19171613
13,4,4,2,12895446
14,4,5,2,17806442
15,4,6,1,14325509
16,5,1,2,12862668
17,6,1,5,19182444
18,7,1,1,20391628
19,7,2,5,19727848
20,8,1,1,12915235
21,8,2,2,12811274
22,8,3,3,18812457
23,8,4,1,17045333
24,8,5,1,19101602
25,8,6,2,17855173
26,8,7,4,19215938
27,9,1,5,16844527
28,9,2,4,13191165
29,9,3,5,21744719
30,9,4,3,18777738
31,9,5,5,21877700
32,9,6,5,14047607
33,10,1,5,18137286
34,10,2,3,16832355
35,10,3,1,21332986
36,10,4,4,12948004
37,10,5,2,20230958
38,10,6,3,17842785
39,10,7,2,21071746
40,10,8,4,17944038
41,11,1,3,19173267
42,11,2,5,19994648
43,11,3,3,22119803
44,11,4,1,19779167
45,11,5,5,16803187
46,12,1,3,17476133
47,12,2,3,20682983
48,12,3,1,20341033
49,13,1,1,21028271
50,13,2,2,18416761
51,13,3,5,20170491
52,13,4,5,21244618
53,13,5,2,13906272
54,13,6,1,22244810
55,13,7,3,18234891
56,13,8,5,20005380
57,14,1,4,19231434
58,14,2,3,18682196
59,14,3,3,21415524
60,14,4,1,20639639
61,14,5,5,17372229
62,14,6,5,16060678
63,15,1,3,16739187
64,15,2,2,16558420
65,15,3,2,21261902
66,15,4,1,14700869
67,15,5,3,22206275
68,15,6,3,21475873
69,15,7,5,19285088
70,15,8,3,13036825
71,15,9,1,13453010
72,16,1,2,15776682
73,16,2,4,20010844
74,16,3,3,19945365
75,16,4,3,16472060
76,16,5,5,19336379
77,16,6,4,20296362
78,16,7,4,14774224
79,17,1,4,21407459
80,18,1,1,16741479
81,18,2,3,22171866
82,18,3,2,14225300
83,18,4,4,22258075
84,19,1,3,21184482
85,19,2,1,20165892
86,19,3,1,22237850
87,19,4,2,15693116
88,20,1,4,12874213
89,20,2,4,22020177
90,20,3,2,20071645
91,20,4,1,14136304
92,20,5,2,13486204
93,20,6,1,18511961
94,20,7,3,16774942
95,21,1,1,21931752
96,22,1,1,21727894
97,22,2,5,16816809
98,22,3,2,17298513
99,22,4,4,21822474
100,22,5,4,19737706
101,22,6,5,15188615
102,22,7,3,17035000
103,22,8,4,19982598
104,22,9,1,21241968
105,22,10,5,21567669
106,23,1,1,19455712
107,23,2,5,14888313
108,23,3,4,22184761
109,23,4,5,20201017
110,23,5,3,20356900
111,23,6,3,21976696
112,23,7,2,14481115
113,23,8,1,20587004
114,23,9,2,16833382
115,24,1,4,14402229
116,24,2,3,12545538
117,24,3,3,21886906
118,24,4,1,18626446
119,24,5,3,18080113
120,24,6,5,19267373
121,24,7,5,21601218
122,24,8,5,18983664
123,24,9,4,18401296
124,24,10,5,12369437
125,25,1,1,18113638
126,25,2,5,17743549
127,25,3,2,18110558
128,25,4,4,13696127
129,25,5,5,15098909
130,25,6,2,15597724
131,25,7,5,21815144
132,26,1,3,16981875
133,26,2,3,12484955
134,26,3,1,13282752
135,26,4,2,19150114
136,26,5,4,19600632
137,26,6,4,14336768
138,26,7,1,15257666
139,27,1,2,19818229
140,27,2,4,20815099
141,27,3,1,19476544
142,27,4,2,16361769
143,27,5,2,14705170
144,27,6,4,16914054
145,27,7,1,18330675
146,27,8,5,13701585
147,27,9,4,19965846
148,28,1,5,16824091
149,28,2,4,20348575
150,28,3,3,18251253
151,28,4,5,19359469
152,29,1,2,17016539
153,29,2,3,19866371
154,30,1,5,15021627
155,30,2,4,18637546
156,30,3,4,16191487
157,30,4,1,18368177
158,30,5,4,15058034
159,31,1,5,15046685
160,31,2,5,15013138
161,31,3,5,16359310
162,31,4,5,21254561
163,31,5,3,13815501
164,31,6,4,19336313
165,31,7,4,15509823
166,31,8,3,14905269
167,32,1,4,15271243
168,32,2,4,16182670
169,32,3,2,15191355
170,32,4,5,18698376
171,32,5,2,18226376
172,32,6,2,14933743
173,32,7,5,19284008
174,32,8,3,21420696
175,33,1,5,14915345
176,33,2,2,22294226
177,33,3,4,20842843
178,34,1,4,14132556
179,34,2,5,19602554
180,34,3,4,21180262
181,34,4,2,16472884
182,34,5,3,21908734
183,34,6,3,15356103
184,34,7,1,15231443
185,35,1,5,19567801
186,35,2,1,13934232
187,35,3,4,16537416
188,35,4,3,15800977
